schm_code_t,Schm_code,Schm_Desc (Product)
PDSC1558,SD429,UTKRISTA TARAKESHWOR NAGARPALIKA BACHAT KHATA PARTNER
PDSC320,SD363,UTKRISTA THAKURBABA NAGARPALIKA BACHAT KHATA PARTNER
PDSC365,SD313,UTKRISTA GRAMTHAN GAUPALIKA BACHAT KHATA AMBASSADOR
PDSC60,SD293,UTKRISTA DUHABI NAGARPALIKA BACHAT KHATA PRIDE
PDSC944,SD314,UTKRISTA GRAMTHAN GAUPALIKA BACHAT KHATA PRIDE
PDSC1182,SD432,UTKRISTA GUJARA NAGARPALIKA BACHAT KHATA PARTNER
PDSC657,SD441,UTKRISTA HARIPURWA NAGARPALIKA BACHAT KHATA PARTNER
PDSC1324,SD468,UTKRISTA BAIJANATH GAUNPALIKA BACHAT KHATA PARTNER ONLINE
PDSC926,SD521,UTKRISTA JHAPA GAUPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1603,SD551,UTKRISTA ROHINI GAUPALIKA BACHAT KHATA PRIDE ONLINE
PDSC311,SD665,UTKRISTA BIRTAMOD NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1341,SD439,UTKRISTA HARIPURWA NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC1317,SD442,UTKRISTA CHANDRAGIRI MUSAGARMATHAIPALITY BACHAT KHATA AMBASSADOR
PDSC563,SD445,UTKRISTA HARIPUR NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC363,SD670,UTKRISTA SABAILA NAGARPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1388,SD715,UTKRISTA AADHIKHOLA GAUPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1247,SD650,UTKRISTA RAJPUR GAUNPALIKA BACHAT KHATA PRIDE ONLINE
PDSC91,SD662,UTKRISTA KATAHARIYA NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC941,SD476,UTKRISTA BALEFI GAUPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1526,SD620,UTKRISTA CHAKRAGHATTA GAUNPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1750,SD635,UTKRISTA KANEPOKHARI GAUPALIKA BACHAT KHATA PRIDE ONLINE
PDSC551,SD600,UTKRISTA BARDAGORIYA GAUNPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC1565,SD603,UTKRISTA BHAGWANPUR GAUPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC434,SD364,UTKRISTA TILOTTAMA NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC1631,SD380,UTKRISTA MIRCHAIYA NAGARPALIKA BACHAT KHATA PRIDE
PDSC201,SD379,UTKRISTA MIRCHAIYA NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC1856,SD383,UTKRISTA KANEPOKHARI GAUPALIKA BACHAT KHATA PRIDE
PDSC1329,SD395,UTKRISTA GADHAWA GAUPALIKA BACHAT KHATA PRIDE
PDSC1253,SD404,UTKRISTA BARJU GAUPALIKA BACHAT KHATA PRIDE
PDSC1449,SD580,UTKRISTA BANSGADHI MUSAGARMATHAIPAITY BACHAT KHATA - AMBASSADOR ONLINE
PDSC267,SD583,UTKRISTA BUDDHASHANTI GAUPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1714,SD560,UTKRISTA ANNAPURNA GAUPALIKA BACHAT KHATA PRIDE ONLINE
PDSC160,SD659,UTKRISTA KERABARI GAUPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1832,SD713,UTKRISTA KABILASI NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1676,SD749,UTKRISTA PAYROLL BACHAT KHATA-AMBASSADOR ONLINE
PDSC1030,SD248,UTKRISTA GAURIGANGA NAGARPALIKA BACHAT KHATA PRIDE
PDSC426,SD306,UTKRISTA DUDUWA GAUNPALIKA BACHAT KHATA PARTNER
PDSC1032,SD318,UTKRISTA BUDHIGANGA GAUNPALIKA BACHAT KHATA PARTNER
PDSC252,SD263,UTKRISTA BARABARDIYA NAGARPALIKA BACHAT KHATA PRIDE
PDSC1170,SD295,UTKRISTA DEVCHULI NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC111,SD366,UTKRISTA TILOTTAMA NAGARPALIKA BACHAT KHATA PARTNER
PDSC1868,SD368,UTKRISTA CHAKRAGHATTA GAUNPALIKA BACHAT KHATA PRIDE
PDSC1740,SD485,UTKRISTA GAIDAHAWA GAUPALIKA BACHAT KHATA PRIDE ONLINE
PDSC835,SD491,UTKRISTA GAURIGUNJ GAUNPALIKA BACHAT KHATA PRIDE ONLINE
PDSC624,SD500,UTKRISTA GAURIGANGA NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC791,SD419,UTKRISTA SABAILA NAGARPALIKA BACHAT KHATA PRIDE
PDSC990,SD400,UTKRISTA LOHARPATTI MUSAGARMATHAIPALITY BACHAT KHATA AMBASSADOR
PDSC433,SD403,UTKRISTA BARJU GAUPALIKA BACHAT KHATA AMBASSADOR
PDSC718,SD359,UTKRISTA SUNWAL NAGARPALIKA BACHAT KHATA PRIDE
PDSC639,SD444,UTKRISTA CHANDRAGIRI MUSAGARMATHAIPALITY BACHAT KHATA PARTNER
PDSC1683,SD408,UTKRISTA KERABARI GAUPALIKA BACHAT KHATA PARTNER
PDSC1607,SD337,UTKRISTA RAMPRASADRAI GAUPALIKA BACHAT KHATA AMBASSADOR
PDSC1602,SD332,UTKRISTA BUDDHASHANTI GAUPALIKA BACHAT KHATA PRIDE
PDSC1792,SD335,UTKRISTA BEDKOT NAGARPALIKA BACHAT KHATA PRIDE
PDSC1608,SD458,UTKRISTA KATHMANDU MAHANAGARPALIKA BACHAT KHATA PRIDE
PDSC1857,SD433,UTKRISTA SURYABINAYAK NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC1811,SD622,UTKRISTA MAHADEWA GAUPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC653,SD634,UTKRISTA KANEPOKHARI GAUPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1729,SD675,UTKRISTA SAMSI GAUPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC108,SD289,UTKRISTA SHUKLAGANDAKI NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC1335,SD298,UTKRISTA ROHINI GAUPALIKA BACHAT KHATA AMBASSADOR
PDSC458,SD402,UTKRISTA LOHARPATTI MUSAGARMATHAIPALITY BACHAT KHATA PARTNER
PDSC1144,SD405,UTKRISTA BARJU GAUPALIKA BACHAT KHATA PARTNER
PDSC522,SD370,UTKRISTA MAHADEWA GAUPALIKA BACHAT KHATA AMBASSADOR
PDSC1555,SD371,UTKRISTA MAHADEWA GAUPALIKA BACHAT KHATA PRIDE
PDSC731,SD544,UTKRISTA DUHABI NAGARPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC968,SD617,UTKRISTA TILOTTAMA NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1559,SD720,UTKRISTA REMITTANCE BACHAT KHATA - PRIDE ONLINE
PDSC1405,SD299,UTKRISTA ROHINI GAUPALIKA BACHAT KHATA PRIDE
PDSC745,SD311,UTKRISTA DEWANGUNJ GAUPALIKA BACHAT KHATA PRIDE
PDSC1527,SD423,UTKRISTA SAMSI GAUPALIKA BACHAT KHATA PARTNER
PDSC867,SD353,UTKRISTA BHIMPHEDI GAUPALIKA BACHAT KHATA PRIDE
PDSC592,SD438,UTKRISTA SIYARI GAUNPALIKA BACHAT KHATA PARTNER
PDSC1710,SD392,UTKRISTA DHOBINI GAUPALIKA BACHAT KHATA PRIDE
PDSC1303,SD398,UTKRISTA RAJPUR GAUNPALIKA BACHAT KHATA PRIDE
PDSC173,SD325,UTKRISTA BALARA NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC546,SD412,UTKRISTA BIRTAMOD NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC1195,SD443,UTKRISTA CHANDRAGIRI MUSAGARMATHAIPALITY BACHAT KHATA PRIDE
PDSC824,SD415,UTKRISTA ARJUNDHARA MUNCIPALITY BACHAT KHATA AMBASSADOR
PDSC776,SD449,UTKRISTA BAGMATI NAGARPALIKA BACHAT KHATA PRIDE
PDSC1727,SD492,UTKRISTA GAURIGUNJ GAUNPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC04,SD537,UTKRISTA KAGESHWORI MANOHARA NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC1173,SD546,UTKRISTA ROHINI GAUPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC1224,SD748,UTKRISTA PAYROLL BACHAT KHATA-GENERAL
PDSC1513,SD343,UTKRISTA KACHANKAWAL GAUPALIKA BACHAT KHATA AMBASSADOR
PDSC444,SD338,UTKRISTA RAMPRASADRAI GAUPALIKA BACHAT KHATA PRIDE
PDSC1761,SD478,UTKRISTA DEVDAHA NAGARPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1824,SD425,UTKRISTA GODAWARI NAGARPALIKA - LALITPUR BACHAT KHATA PRIDE
PDSC1238,SD456,UTKRISTA PAKHRIBAS NAGARPALIKA BACHAT KHATA PARTNER
PDSC1809,SD446,UTKRISTA HARIPUR NAGARPALIKA BACHAT KHATA PRIDE
PDSC521,SD461,UTKRISTA KABILASI NAGARPALIKA BACHAT KHATA PRIDE
PDSC1806,SD427,UTKRISTA TARAKESHWOR NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC72,SD475,UTKRISTA BALEFI GAUPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC390,SD484,UTKRISTA GAIDAHAWA GAUPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1754,SD490,UTKRISTA GAURIGUNJ GAUNPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC247,SD502,UTKRISTA CHHIPAHARMAI GAUPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC940,SD482,UTKRISTA GARUDA NAGARPALIKA BACHAT KHATA  PRIDE ONLINE
PDSC658,SD517,UTKRISTA JOSHIPUR GAUNPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC810,SD523,UTKRISTA RAMDHUNI NAGARPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC276,SD532,UTKRISTA TIRAHUT GAUPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1333,SD477,UTKRISTA BALEFI GAUPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC635,SD501,UTKRISTA GAURIGANGA NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC540,SD519,UTKRISTA JOSHIPUR GAUNPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC1257,SD288,UTKRISTA NALGAD NAGARPALIKA BACHAT KHATA PARTNER
PDSC934,SD315,UTKRISTA GRAMTHAN GAUNPALIKA BACHAT KHATA PARTNER
PDSC1226,SD268,UTKRISTA JHAPA GAUPALIKA BACHAT KHATA AMBASSADOR
PDSC1246,SD554,UTKRISTA DHANUSADHAM NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1413,SD511,UTKRISTA KAMALA MUSAGARMATHAIPALITY BACHAT KHATA - AMBASSADOR ONLINE
PDSC848,SD547,UTKRISTA DEVCHULI NAGARPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC794,SD566,UTKRISTA GRAMTHAN GAUPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1196,SD604,UTKRISTA BHIMPHEDI GAUPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC454,SD575,UTKRISTA BARDAGHAT NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1810,SD613,UTKRISTA THAKURBABA NAGARPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1601,SD619,UTKRISTA CHAKRAGHATTA GAUNPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1518,SD679,UTKRISTA TARAKESHWOR NAGARPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1590,SD524,UTKRISTA RAMDHUNI NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC313,SD536,UTKRISTA KAGESHWORI MANOHARA NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1720,SD542,UTKRISTA SHUKLAGANDAKI NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1658,SD559,UTKRISTA ANNAPURNA GAUPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1343,SD562,UTKRISTA DEWANGUNJ GAUPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC460,SD586,UTKRISTA BEDKOT NAGARPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1677,SD598,UTKRISTA BARDAGORIYA GAUNPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC739,SD658,UTKRISTA KERABARI GAUPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC980,SD499,UTKRISTA GAURIGANGA NAGARPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC836,SD671,UTKRISTA SABAILA NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC417,SD674,UTKRISTA SAMSI GAUPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1167,SD680,UTKRISTA TARAKESHWOR NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC620,SD510,UTKRISTA JEERABHAWANI GAUNPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC746,SD513,UTKRISTA KAMALA MUSAGARMATHAIPALITY BACHAT KHATA- PARTNER ONLINE
PDSC747,SD531,UTKRISTA MAHALAXMI NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC1453,SD540,UTKRISTA NALGAD NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC1110,SD700,UTKRISTA BAGMATI NAGARPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1312,SD626,UTKRISTA MAHARAJGUNJ NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC771,SD653,UTKRISTA LOHARPATTI MUSAGARMATHAIPALITY BACHAT KHATA PRIDE ONLINE
PDSC552,SD591,UTKRISTA RAMPRASADRAI GAUPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC621,SD597,UTKRISTA KACHANKAWAL GAUPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC730,SD615,UTKRISTA THAKURBABA NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC1863,SD618,UTKRISTA TILOTTAMA NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC565,SD630,UTKRISTA KANCHAN GAUPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC489,SD673,UTKRISTA SAMSI GAUPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1634,SD694,UTKRISTA CHANDRAGIRI MUSAGARMATHAIPALITY BACHAT KHATA - AMBASSADOR ONLINE
PDSC142,SD587,UTKRISTA BEDKOT NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC938,SD590,UTKRISTA RAMPRASADRAI GAUPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1252,SD656,UTKRISTA BARJU GAUPALIKA BACHAT KHATA PRIDE ONLINE
PDSC785,SD561,UTKRISTA ANNAPURNA GAUPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC1205,SD654,UTKRISTA LOHARPATTI MUSAGARMATHAIPALITY BACHAT KHATA- PARTNER ONLINE
PDSC361,SD757,UTKRISTA REMITTANCE BACHAT KHATA-IPO ONLINE
PDSC1469,SD535,UTKRISTA KAGESHWORI MANOHARA NAGARPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC388,SD571,UTKRISTA BANDIPUR GAUNPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC99,SD543,UTKRISTA SHUKLAGANDAKI NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC380,SD552,UTKRISTA ROHINI GAUPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC207,SD582,UTKRISTA BANSGADHI MUSAGARMATHAIPAITY BACHAT KHATA- PARTNER ONLINE
PDSC1497,SD624,UTKRISTA MAHADEWA GAUPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC488,SD657,UTKRISTA BARJU GAUPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC1354,SD703,UTKRISTA KAILARI GAUNPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1348,SD633,UTKRISTA MIRCHAIYA NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC1776,SD636,UTKRISTA KANEPOKHARI GAUPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC188,SD669,UTKRISTA ARJUNDHARA MUNCIPALITY BACHAT KHATA- PARTNER ONLINE
PDSC352,SD684,UTKRISTA GUJARA NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC94,SD699,UTKRISTA HARIPUR NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC1391,SD717,UTKRISTA AADHIKHOLA GAUPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC769,SD496,UTKRISTA GODAWARI NAGARPALIKA - KAILALI BACHAT KHATA - AMBASSADOR ONLINE
PDSC1359,SD541,UTKRISTA SHUKLAGANDAKI NAGARPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1130,SD568,UTKRISTA BUDHIGANGA GAUPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC199,SD373,UTKRISTA MAHARAJGUNJ NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC636,SD506,UTKRISTA JAGARNATHPUR GAUPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1133,SD538,UTKRISTA NALGAD NAGARPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1082,SD689,UTKRISTA SIYARI GAUNPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1202,SD692,UTKRISTA HARIPURWA NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1725,SD698,UTKRISTA HARIPUR NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC130,SD280,UTKRISTA TIRAHUT GAUPALIKA BACHAT KHATA AMBASSADOR
PDSC588,SD342,UTKRISTA BAUDHIMAI NAGARPALIKA BACHAT KHATA PARTNER
PDSC336,SD292,UTKRISTA DUHABI NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC02,SD278,UTKRISTA MAHALAXMI NAGARPALIKA BACHAT KHATA PRIDE
PDSC466,SD304,UTKRISTA DUDUWA GAUNPALIKA BACHAT KHATA AMBASSADOR
PDSC349,SD284,UTKRISTA KAGESHWORI MANOHARA NAGARPALIKA BACHAT KHATA PRIDE
PDSC1548,SD287,UTKRISTA NALGAD NAGARPALIKA BACHAT KHATA PRIDE
PDSC325,SD290,UTKRISTA SHUKLAGANDAKI NAGARPALIKA BACHAT KHATA PRIDE
PDSC208,SD616,UTKRISTA TILOTTAMA NAGARPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC735,SD697,UTKRISTA HARIPUR NAGARPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1326,SD744,UTKRISTA REMITTANCE BACHAT KHATA-GENERAL
PDSC1556,SD750,UTKRISTA PAYROLL BACHAT KHATA-PRIDE ONLINE
PDSC341,SD755,UTKRISTA PAYROLL BUNDLED SAHAJ BACHAT KHATA
PDSC626,SD683,UTKRISTA GUJARA NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1619,SD498,UTKRISTA GODAWARI NAGARPALIKA - KAILALI BACHAT KHATA- PARTNER ONLINE
PDSC1330,SD651,UTKRISTA RAJPUR GAUNPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC164,SD687,UTKRISTA SURYABINAYAK NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC1870,SD693,UTKRISTA HARIPURWA NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC251,SD745,UTKRISTA PAYROLL BACHAT KHATA-AMBASSADOR
PDSC149,SD316,UTKRISTA BUDHIGANGA GAUPALIKA BACHAT KHATA AMBASSADOR
PDSC1459,SD320,UTKRISTA BANDIPUR GAUNPALIKA BACHAT KHATA PRIDE
PDSC692,SD655,UTKRISTA BARJU GAUPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1258,SD676,UTKRISTA GODAWARI NAGARPALIKA - LALITPUR BACHAT KHATA - AMBASSADOR ONLINE
PDSC1711,SD685,UTKRISTA SURYABINAYAK NAGARPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC453,SD686,UTKRISTA SURYABINAYAK NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1041,SD569,UTKRISTA BUDHIGANGA GAUPALIKA BACHAT KHATA PRIDE ONLINE
PDSC831,SD326,UTKRISTA BALARA NAGARPALIKA BACHAT KHATA PRIDE
PDSC685,SD341,UTKRISTA BAUDHIMAI NAGARPALIKA BACHAT KHATA PRIDE
PDSC1106,SD527,UTKRISTA BIDEHA NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1788,SD688,UTKRISTA SIYARI GAUNPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1042,SD509,UTKRISTA JEERABHAWANI GAUNPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1150,SD550,UTKRISTA ROHINI GAUPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC119,SD539,UTKRISTA NALGAD NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC634,SD709,UTKRISTA KATHMANDU MAHANAGARPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1083,SD528,UTKRISTA BIDEHA NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC318,SD736,UTKRISTA PANCHAKANYA  GAUPALIKA BACHAT KHATA PARTNER
PDSC1842,SD738,UTKRISTA PANCHAKANYA GAUPALIKA BACHAT KHATA PRIDE ONLINE
PDSC209,SD739,UTKRISTA PANCHAKANYA GAUPALIKA BACHAT KHATA PARTNER ONLINE
PDSC1492,SD436,UTKRISTA SIYARI GAUNPALIKA BACHAT KHATA AMBASSADOR
PDSC1829,SD457,UTKRISTA KATHMANDU MAHANAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC226,SD460,UTKRISTA KABILASI NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC1430,SD463,UTKRISTA AADHIKHOLA GAUPALIKA BACHAT KHATA AMBASSADOR
PDSC1340,SD305,UTKRISTA DUDUWA GAUNPALIKA BACHAT KHATA PRIDE
PDSC124,SD494,UTKRISTA TOKHA NAGARPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1240,SD646,UTKRISTA GADHAWA GAUPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC977,SD667,UTKRISTA ARJUNDHARA MUNCIPALITY BACHAT KHATA - AMBASSADOR ONLINE
PDSC1281,SD399,UTKRISTA RAJPUR GAUPALIKA BACHAT KHATA PARTNER
PDSC263,SD286,UTKRISTA NALGAD NAGARPALIKA BACHAT KHATA AMBASSADOR
PDSC1660,SD354,UTKRISTA BHIMPHEDI GAUNPALIKA BACHAT KHATA PARTNER
PDSC1690,SD369,UTKRISTA CHAKRAGHATTA GAUNPALIKA BACHAT KHATA PARTNER
PDSC987,SD435,UTKRISTA SURYABINAYAK NAGARPALIKA BACHAT KHATA PARTNER
PDSC1103,SD466,UTKRISTA BAIJANATH GAUNPALIKA BACHAT KHATA AMBASSADOR ONLINE
PDSC914,SD467,UTKRISTA BAIJANATH GAUNPALIKA BACHAT KHATA PRIDE ONLINE
PDSC765,SD472,UTKRISTA KHAJURA GAUNPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC796,SD481,UTKRISTA GARUDA NAGARPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1423,SD493,UTKRISTA TOKHA NAGARPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1288,SD505,UTKRISTA JAGARNATHPUR GAUPALIKA BACHAT KHATA - AMBASSADOR ONLINE
PDSC1108,SD473,UTKRISTA KHAJURA GAUNPALIKA BACHAT KHATA PRIDE ONLINE
PDSC1369,SD504,UTKRISTA CHHIPAHARMAI GAUPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC1287,SD507,UTKRISTA JAGARNATHPUR GAUPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC233,SD579,UTKRISTA BALARA NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC1815,SD480,UTKRISTA DEVDAHA NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC1822,SD555,UTKRISTA DHANUSADHAM NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
PDSC475,SD609,UTKRISTA BHIMAD NAGARPALIKA BACHAT KHATA- PARTNER ONLINE
